iter	RMSE
0	50639.0296
1	48745.36079
2	47189.26375
3	45879.30259
4	44674.42657
5	43697.80926
6	42877.62099
7	42184.89156
8	41562.6103
9	41082.35716
10	40649.99194
11	40304.22651
12	39983.73071
13	39716.74037
14	39501.94328
15	39302.34677
16	39140.09052
17	39004.52928
18	38871.60537
19	38764.40893
20	38659.02796
21	38578.02425
22	38502.58215
23	38447.96279
24	38392.55987
25	38344.07999
26	38302.31682
27	38262.0925
28	38225.08313
29	38183.12698
30	38153.29882
31	38108.92213
32	38075.64618
33	38055.57835
34	38028.13719
35	38002.93243
36	37972.40894
37	37942.6452
38	37927.24459
39	37914.87985
40	37898.11899
41	37882.50964
42	37863.75788
43	37845.73416
44	37835.60209
45	37824.23226
46	37808.51688
47	37797.2226
48	37787.91302
49	37769.53389
50	37746.30343
51	37734.39152
52	37726.68495
53	37717.34431
54	37707.53021
55	37699.65208
56	37692.22103
57	37684.69641
58	37675.64581
59	37671.63416
60	37661.20769
61	37657.36149
62	37649.98659
63	37643.02652
64	37634.49706
65	37625.891
66	37621.23488
67	37617.09205
68	37606.77383
69	37592.65976
70	37587.15161
71	37579.9256
72	37566.16806
73	37562.04374
74	37551.54416
75	37541.74711
76	37535.9059
77	37532.6467
78	37525.74599
79	37522.638
80	37511.09902
81	37505.0977
82	37500.84349
83	37494.34488
84	37490.7062
85	37482.65102
86	37477.71706
87	37473.58624
88	37463.32103
89	37459.18089
90	37454.49521
91	37450.46601
92	37446.76591
93	37439.65751
94	37434.09527
95	37430.42454
96	37427.36811
97	37424.17998
98	37420.20185
99	37415.94619
100	37412.83512
101	37407.46589
102	37402.98035
103	37398.08475
104	37392.92583
105	37389.61678
106	37386.57978
107	37384.09753
108	37379.5024
109	37377.9437
110	37375.03077
111	37371.09129
112	37359.7466
113	37356.04018
114	37352.69398
115	37349.67195
116	37346.15444
117	37342.6644
118	37337.88484
119	37334.84337
120	37329.15989
121	37323.08286
122	37319.57399
123	37313.03493
124	37309.80215
125	37304.37782
126	37301.38725
127	37297.58031
128	37293.27286
129	37290.43326
130	37285.23075
131	37282.8001
132	37279.06594
133	37274.33716
134	37264.43294
135	37259.31097
136	37255.88246
137	37250.30158
138	37246.70433
139	37244.7652
140	37242.96855
141	37238.41543
142	37233.51892
143	37230.8784
144	37227.85017
145	37224.56639
146	37219.86637
147	37216.90595
148	37213.63789
149	37211.27672
150	37205.56267
151	37200.6111
152	37194.55563
153	37190.29043
154	37187.98501
155	37185.28109
156	37182.3701
157	37176.79119
158	37174.62281
159	37168.2398
160	37164.66466
161	37162.38811
162	37157.50306
163	37156.48303
164	37152.44684
165	37150.1624
166	37147.47081
167	37142.76902
168	37139.79627
169	37137.50262
170	37135.54594
171	37133.26843
172	37129.89545
173	37128.05492
174	37126.12236
175	37122.09709
176	37120.30611
177	37116.74142
178	37112.01876
179	37107.07266
180	37102.83472
181	37099.79705
182	37097.42193
183	37093.20213
184	37089.65528
185	37087.93835
186	37086.22078
187	37085.12992
188	37084.08457
189	37081.49426
190	37078.40217
191	37074.29868
192	37071.13571
193	37067.0524
194	37064.76109
195	37062.89906
196	37059.58363
197	37058.53392
198	37054.73452
199	37053.22548
200	37050.62301
201	37047.01235
202	37045.38514
203	37042.55818
204	37040.16286
205	37036.4783
206	37035.10731
207	37030.3302
208	37026.60147
209	37025.24545
210	37020.6227
211	37018.00356
212	37016.80332
213	37014.35541
214	37012.30347
215	37011.51469
216	37009.16924
217	37006.52432
218	37003.79005
219	37000.47962
220	36997.55136
221	36995.84227
222	36992.41047
223	36989.94244
224	36987.61111
225	36985.83734
226	36984.13885
227	36981.14383
228	36979.37321
229	36976.88673
230	36973.99757
231	36971.36553
232	36968.94074
233	36965.41629
234	36961.47754
235	36958.87747
236	36955.68687
237	36953.83938
238	36952.43672
239	36949.7483
240	36947.14385
241	36945.11026
242	36942.56582
243	36941.44364
244	36940.21836
245	36938.95358
246	36937.54577
247	36936.48461
248	36934.53299
249	36932.31239
250	36929.76195
251	36927.08278
252	36924.8922
253	36923.20537
254	36922.37469
255	36920.83786
256	36917.70356
257	36914.72045
258	36912.258	36864.8486
259	36862.95537
260	36858.48639
261	36856.34439
262	36851.36761
263	36847.17087
264	36845.12638
265	36843.86196
266	36842.32372
267	36838.89366
268	36837.44504
269	36836.69093
270	36835.25817
271	36834.02025
272	36832.54858
273	36830.5759
274	36828.64625
275	36825.73724
276	36823.56536
277	36821.50831
278	36820.94796
279	36819.44668
280	36818.62246
281	36816.66915
282	36813.87955
283	36813.26495
284	36811.78519
285	36809.20401
286	36805.94354
287	36803.47132
288	36801.8877
289	36800.69481
290	36799.60253
291	36797.83252
292	36793.689
293	36791.13924
294	36790.14942
295	36789.32607
296	36787.87299
297	36786.86951
298	36785.24149
299	36783.20664
300	36781.24191
301	36779.33276
302	36776.45218
303	36775.89362
304	36775.3609
305	36770.63075
306	36768.39352
307	36766.13751
308	36763.19074
309	36761.68472
310	36759.77673
311	36758.7736
312	36756.65463
313	36755.52313
314	36753.83878
315	36751.36395
316	36749.27932
317	36746.90841
318	36746.37593
319	36745.69605
320	36744.72274
321	36743.1087
322	36741.31687
323	36739.56918
324	36737.65275
325	36736.68622
326	36735.66131
327	36734.79826
328	36733.85055
329	36733.25876
330	36731.73796
331	36730.37968
332	36729.82847
333	36728.71124
334	36727.80734
335	36726.86343
336	36726.18088
337	36724.01255
338	36722.39079
339	36721.10544
340	36720.6283
341	36718.32907
342	36718.1243
343	36717.59378
344	36715.93564
345	36714.37206
346	36713.01604
347	36710.96431
348	36709.34189
349	36708.37853
350	36706.49518
351	36704.94099
352	36703.14661
353	36702.28068
354	36701.38285
355	36697.77602
356	36692.19226
357	36691.00486
358	36687.62346
359	36685.54482
360	36682.14456
361	36680.96555
362	36679.1319
363	36678.61603
364	36676.92269
365	36675.48246
366	36673.86915
367	36672.75936
368	36671.21749
369	36667.51712
370	36665.34999
371	36663.93132
372	36663.63943
373	36662.7574
374	36662.23623
375	36660.40982
376	36658.29226
377	36656.26066
378	36653.41792
379	36651.24665
380	36649.53571
381	36648.96389
382	36647.78186
383	36646.78811
384	36643.03929
385	36641.78421
386	36641.11253
387	36639.37435
388	36638.49025
389	36636.13858
390	36634.84181
391	36633.52606
392	36630.42089
393	36628.68953
394	36627.31592
395	36626.1729
396	36624.95512
397	36624.2684
398	36623.48619
399	36620.71483
400	36619.73787
401	36619.43401
402	36617.75665
403	36616.15685
404	36615.08542
405	36612.64025
406	36612.11841
407	36610.87467
408	36609.72302
409	36609.17017
410	36608.28084
411	36607.7592
412	36607.06914
413	36605.875
414	36603.83064
415	36601.24304
416	36599.83917
417	36598.21466
418	36596.96505
419	36595.927
420	36594.62561
421	36592.71339
422	36591.3583
423	36589.28366
424	36586.43893
425	36585.57251
426	36584.02674
427	36582.46102
428	36580.86085
429	36578.34991
430	36576.66965
431	36575.46001
432	36574.25124
433	36572.86223
434	36572.50932
435	36569.75287
436	36568.62965
437	36568.4468
438	36566.99265
439	36566.11926
440	36565.5846
441	36563.2055
442	36562.4876
443	36561.78353
444	36560.02244
445	36559.31535
446	36558.44773
447	36557.01158
448	36556.54334
449	36555.76265
450	36553.53576
451	36552.06711
452	36550.95834
453	36549.92261
454	36548.91581
455	36548.43882
456	36548.08347
457	36546.29987
458	36544.5386
459	36543.34064
460	36542.22842
461	36540.52394
462	36539.26331
463	36536.80469
464	36535.28304
465	36532.05833
466	36531.81214
467	36530.31806
468	36528.76888
469	36527.25281
470	36525.93507
471	36525.55019
472	36524.67274
473	36524.02334
474	36523.55783
475	36523.06353
476	36522.03206
477	36520.36682
478	36519.9
479	36519.51709
480	36518.98724
481	36517.77599
482	36517.15614
483	36515.59226
484	36515.11101
485	36514.01618
486	36513.47908
487	36512.10556
488	36511.54775
489	36510.83926
490	36509.67884
491	36508.76439
492	36506.76432
493	36506.01798
494	36505.14666
495	36504.74807
496	36504.06245
497	36503.70426
498	36502.79573
499	36501.228
500	36499.04084
501	36497.44424
502	36495.58878
503	36494.79411
504	36493.76538
505	36492.19928
506	36491.32324
507	36490.58705
508	36488.15582
509	36486.81915
510	36486.29278
511	36484.84982
512	36482.79806
513	36482.46061
514	36481.42077
515	36480.7982
516	36479.96764
517	36479.3699
518	36478.09109
519	36476.86464
520	36475.63727
521	36474.25523
522	36472.33129
523	36470.78172
524	36469.75186
525	36468.25031
526	36465.80505
527	36464.78738
528	36463.23761
529	36462.40548
530	36460.18876
531	36458.58544
532	36457.55857
533	36456.90777
534	36456.21746
535	36454.06951
536	36453.84455
537	36452.82592
538	36451.8052
539	36450.56178
540	36449.35157
541	36448.79451
542	36447.64498
543	36446.4845
544	36445.7696
545	36445.19519
546	36444.03506
547	36443.49702
548	36442.06723
549	36441.42641
550	36440.23139
551	36439.23355
552	36438.85767
553	36436.72044
554	36436.36235
555	36434.78748
556	36433.73417
557	36433.13597
558	36431.957
559	36431.64469
560	36430.31302
561	36428.84057
562	36428.32435
563	36427.91107
564	36426.36582
565	36424.25756
566	36423.22185
567	36422.79495
568	36421.53317
569	36420.4267
570	36419.46815
571	36418.88244
572	36418.1836
573	36417.62929
574	36417.35793
575	36416.88627
576	36414.80516
577	36414.03655
578	36413.4626
579	36412.25141
580	36411.85943
581	36411.1258
582	36410.65417
583	36409.20826
584	36407.73828
585	36407.17271
586	36404.65459
587	36403.30465
588	36402.39549
589	36400.57192
590	36399.99767
591	36399.24439
592	36398.82349
593	36397.71329
594	36395.36529
595	36394.49688
596	36393.84945
597	36393.02054
598	36392.52707
599	36391.84359
600	36390.32358
601	36389.83561
602	36389.53039
603	36389.04553
604	36388.53687
605	36388.15381
606	36387.71993
607	36387.23152
608	36386.30295
609	36385.16647
610	36384.78454
611	36383.51933
612	36383.08741
613	36381.95206
614	36380.88324
615	36380.48948
616	36378.75748
617	36377.3096
618	36375.49985
619	36374.83033
620	36374.34663
621	36373.58445
622	36372.56059
623	36372.09292
624	36370.56358
625	36369.99205
626	36369.62396
627	36368.73365
628	36367.73656
629	36366.43038
630	36366.01641
631	36365.53244
632	36364.97144
633	36364.30694
634	36362.8663
635	36361.83108
636	36360.09137
637	36358.93681
638	36358.12028
639	36356.38553
640	36355.84096
641	36355.32361
642	36354.78937
643	36353.94389
644	36352.83098
645	36352.18224
646	36351.1119
647	36349.43843
648	36348.64878
649	36346.87717
650	36345.8061
651	36344.40311
652	36343.30397
653	36342.34254
654	36341.00881
655	36339.97737
656	36339.69669
657	36338.87355
658	36337.75068
659	36337.13849
660	36336.88622
661	36336.64017
662	36335.84906
663	36335.15246
664	36333.84385
665	36333.51636
666	36333.11344
667	36332.34261
668	36331.69659
669	36330.82826
670	36330.48741
671	36329.38427
672	36328.2225
673	36327.40325
674	36325.60178
675	36325.28044
676	36325.05402
677	36324.62315
678	36323.80026
679	36322.8822
680	36322.27673
681	36321.28419
682	36320.88415
683	36320.55323
684	36317.94427
685	36317.26203
686	36315.98215
687	36315.7504
688	36314.96075
689	36314.41105
690	36313.3576
691	36313.00877
692	36312.61917
693	36311.85043
694	36311.13737
695	36310.51789
